Version,Planet,Variable,Exponent,A,B,C
vsop87e,venus     ,z,1,     0.00000000017, 1.47291446860,      77.75054398390
vsop87e,venus     ,z,1,     0.00000000015, 4.05286495428,     330.61896365820
vsop87e,venus     ,z,1,     0.00000000019, 3.54990981323,     422.66603761290
vsop87e,venus     ,z,1,     0.00000000016, 4.65513429214,     234.63973644040
vsop87e,venus     ,z,1,     0.00000000017, 2.42309662009,    1265.56747862640
vsop87e,venus     ,z,1,     0.00000000017, 1.01231551874,     415.55249061210
vsop87e,venus     ,z,1,     0.00000000017, 0.45299038457,     148.07872442630
vsop87e,venus     ,z,1,     0.00000000018, 0.76975485466,   26087.90314157420
vsop87e,venus     ,z,1,     0.00000000021, 4.93349279148,     151.04766984290
vsop87e,venus     ,z,1,     0.00000000018, 6.15872883408,     942.06206196900
vsop87e,venus     ,z,1,     0.00000000019, 1.46315634551,     215.74677599280
vsop87e,venus     ,z,1,     0.00000000024, 0.09566124749,     277.03499374140
vsop87e,venus     ,z,1,     0.00000000022, 1.22800274368,    1169.58825140860
vsop87e,venus     ,z,1,     0.00000000022, 1.56359401952,      78.71375183040
vsop87e,venus     ,z,1,     0.00000000024, 1.14783906654,      71.81265315070
vsop87e,venus     ,z,1,     0.00000000030, 3.31574729193,     138.51749687070
vsop87e,venus     ,z,1,     0.00000000026, 3.58372397053,      41.10198105440
vsop87e,venus     ,z,1,     0.00000000036, 1.74852565178,    1581.95934828300
vsop87e,venus     ,z,1,     0.00000000028, 3.70748385631,    4732.03062734340
vsop87e,venus     ,z,1,     0.00000000036, 3.22618486892,   49515.38250840700
vsop87e,venus     ,z,1,     0.00000000031, 1.27304383227,   33019.02111220460
vsop87e,venus     ,z,1,     0.00000000031, 1.20392434392,   12592.45001978260
vsop87e,venus     ,z,1,     0.00000000028, 0.28339069792,   29050.78374334920
vsop87e,venus     ,z,1,     0.00000000034, 4.19685270992,   13341.67431130680
vsop87e,venus     ,z,1,     0.00000000027, 1.46263510852,    8094.52168583260
vsop87e,venus     ,z,1,     0.00000000031, 0.64597904023,      70.84944530420
vsop87e,venus     ,z,1,     0.00000000035, 1.26816443678,    1045.15483618760
vsop87e,venus     ,z,1,     0.00000000029, 3.64911521641,   20452.86941222180
vsop87e,venus     ,z,1,     0.00000000038, 5.38040433295,     224.34479570190
vsop87e,venus     ,z,1,     0.00000000031, 1.57491569709,   32217.20018108080
vsop87e,venus     ,z,1,     0.00000000030, 4.35442775962,     412.37109687440
vsop87e,venus     ,z,1,     0.00000000039, 2.77790342477,      35.16409022120
vsop87e,venus     ,z,1,     0.00000000038, 6.19285352338,   29088.81141598500
vsop87e,venus     ,z,1,     0.00000000033, 6.02490547159,   21202.09370374600
vsop87e,venus     ,z,1,     0.00000000044, 0.78654424919,   20213.27199698400
vsop87e,venus     ,z,1,     0.00000000035, 3.59004163922,   21535.94964451540
vsop87e,venus     ,z,1,     0.00000000033, 2.63152688250,   16496.36139620240
vsop87e,venus     ,z,1,     0.00000000036, 0.55224025396,     625.67019231240
vsop87e,venus     ,z,1,     0.00000000036, 0.04372461247,   20400.27277262220
vsop87e,venus     ,z,1,     0.00000000049, 1.74739410911,    3532.06069281140
vsop87e,venus     ,z,1,     0.00000000037, 4.19631930368,   27511.46787353720
vsop87e,venus     ,z,1,     0.00000000053, 1.80084365566,   45585.17281218740
vsop87e,venus     ,z,1,     0.00000000044, 3.34917429540,   11272.66747640020
vsop87e,venus     ,z,1,     0.00000000043, 5.29403475475,    3149.16416058820
vsop87e,venus     ,z,1,     0.00000000043, 2.55616001516,    1596.18644228460
vsop87e,venus     ,z,1,     0.00000000048, 2.58976541849,   22779.43724619380
vsop87e,venus     ,z,1,     0.00000000049, 3.44789037675,   28286.99048486120
vsop87e,venus     ,z,1,     0.00000000057, 0.62155717729,   41654.96311596780
vsop87e,venus     ,z,1,     0.00000000049, 4.84482792493,     956.28915597060
vsop87e,venus     ,z,1,     0.00000000051, 0.39392917326,     742.99006053260
vsop87e,venus     ,z,1,     0.00000000057, 3.98493436395,     309.27832265580
vsop87e,venus     ,z,1,     0.00000000056, 0.16985541402,   14919.01785375460
vsop87e,venus     ,z,1,     0.00000000054, 1.42941204449,      85.82729883120
vsop87e,venus     ,z,1,     0.00000000062, 1.99704954707,   10228.53801739600
vsop87e,venus     ,z,1,     0.00000000062, 1.21365119312,   10198.03307502600
vsop87e,venus     ,z,1,     0.00000000074, 6.21974610833,   18837.49819713819
vsop87e,venus     ,z,1,     0.00000000061, 2.62473045895,     533.62311835770
vsop87e,venus     ,z,1,     0.00000000075, 4.01698827629,   33794.54372352860
vsop87e,venus     ,z,1,     0.00000000074, 0.74329919338,     382.89653222320
vsop87e,venus     ,z,1,     0.00000000063, 3.98868546710,     440.82528487760
vsop87e,venus     ,z,1,     0.00000000070, 5.55011021099,    5661.33204915220
vsop87e,venus     ,z,1,     0.00000000071, 0.43437193243,    2118.76386037840
vsop87e,venus     ,z,1,     0.00000000079, 6.07206626858,   20419.45754542119
vsop87e,venus     ,z,1,     0.00000000072, 2.49760315888,    4551.95349705880
vsop87e,venus     ,z,1,     0.00000000071, 2.75365102566,     526.50957135690
vsop87e,venus     ,z,1,     0.00000000096, 0.86129378681,      63.73589830340
vsop87e,venus     ,z,1,     0.00000000076, 1.24245643745,     532.87235883230
vsop87e,venus     ,z,1,     0.00000000086, 5.48266928025,   37724.75341974820
vsop87e,venus     ,z,1,     0.00000000078, 5.16888914284,    8662.24032356300
vsop87e,venus     ,z,1,     0.00000000075, 1.47982807612,     525.75881183150
vsop87e,venus     ,z,1,     0.00000000077, 1.60857575234,   10218.80847051840
vsop87e,venus     ,z,1,     0.00000000077, 1.60206102260,   10207.76262190360
vsop87e,venus     ,z,1,     0.00000000079, 0.36636125409,      11.04570026390
vsop87e,venus     ,z,1,     0.00000000077, 4.22942639128,      95.97922721780
vsop87e,venus     ,z,1,     0.00000000092, 0.17084455774,    9146.79006902100
vsop87e,venus     ,z,1,     0.00000000084, 4.30248448955,    1162.47470440780
vsop87e,venus     ,z,1,     0.00000000097, 4.64659904732,   25158.60171976540
vsop87e,venus     ,z,1,     0.00000000107, 2.90868508133,    3340.61242669980
vsop87e,venus     ,z,1,     0.00000000103, 2.37976615570,    3128.38876509580
vsop87e,venus     ,z,1,     0.00000000097, 5.83350659322,   40853.14218484400
vsop87e,venus     ,z,1,     0.00000000099, 1.18053788195,    7084.89678111520
vsop87e,venus     ,z,1,     0.00000000100, 2.78745027781,       1.48447270830
vsop87e,venus     ,z,1,     0.00000000147, 4.38575949385,   15874.61759536320
vsop87e,venus     ,z,1,     0.00000000110, 1.54178765941,    9683.59458111640
vsop87e,venus     ,z,1,     0.00000000148, 5.78273623919,      26.29831979980
vsop87e,venus     ,z,1,     0.00000000132, 0.65236823857,   29580.47470844380
vsop87e,venus     ,z,1,     0.00000000122, 5.67146512225,     117.31986822020
vsop87e,venus     ,z,1,     0.00000000120, 5.56979067201,   10192.51015071860
vsop87e,venus     ,z,1,     0.00000000139, 2.69109384056,   29864.33402730900
vsop87e,venus     ,z,1,     0.00000000127, 6.11794706117,   10426.58464164900
vsop87e,venus     ,z,1,     0.00000000148, 1.39050905939,   10234.06094170340
vsop87e,venus     ,z,1,     0.00000000147, 4.40417469081,   10220.39909321180
vsop87e,venus     ,z,1,     0.00000000138, 6.13843515618,    9161.01716302260
vsop87e,venus     ,z,1,     0.00000000140, 0.83132381305,     735.87651353180
vsop87e,venus     ,z,1,     0.00000000161, 3.21958303712,   12566.15169998280
vsop87e,venus     ,z,1,     0.00000000143, 3.70203142149,     323.50541665740
vsop87e,venus     ,z,1,     0.00000000148, 6.00943832296,     949.17560896980
vsop87e,venus     ,z,1,     0.00000000180, 3.65160439089,   21228.39202354580
vsop87e,venus     ,z,1,     0.00000000147, 4.91154015633,     202.25339517410
vsop87e,venus     ,z,1,     0.00000000153, 5.90450931307,    3154.68708489560
vsop87e,venus     ,z,1,     0.00000000199, 4.79364893479,   10206.17199921020
vsop87e,venus     ,z,1,     0.00000000173, 3.75026764989,    7058.59846131540
vsop87e,venus     ,z,1,     0.00000000188, 4.45601446980,     216.48048917570
vsop87e,venus     ,z,1,     0.00000000192, 1.96688749719,    6283.07584999140
vsop87e,venus     ,z,1,     0.00000000166, 3.25384215179,     647.01083331480
vsop87e,venus     ,z,1,     0.00000000198, 2.61036398872,    9411.46461508720
vsop87e,venus     ,z,1,     0.00000000186, 4.63128120913,     209.36694217490
vsop87e,venus     ,z,1,     0.00000000193, 2.68584410734,   23581.25817731760
